Name Equatorial Polar BlueFlux GreenFlux RedFlux Parallax RadialVelocity Distance Periodicity Location
P00892 135.946 63.916 2.74e-13 1.44e-13 7.72e-14 0.01 0.30 100 0 BackA02
P02561 139.448 81.886 6.76e-17 9.27e-17 9.42e-17 0.006 0.35 167 0 BackA03
P01212 143.732 81.468 7.73e-17 6.68e-17 4.75e-17 0.001 2.76 undef 50.13789299503585 BackA03
P06214 145.097 89.411 1.12e-14 6.23e-15 2.59e-15 0.002 2.98 undef 0 BackA03
P06524 146.142 89.082 1.83e-14 9.21e-15 4.18e-15 0.0 3.05 undef 0 BackA03
P08741 146.943 89.478 3.79e-16 2.76e-16 1.46e-16 0.001 3.01 undef 0 BackA03
P09167 147.541 89.011 5.75e-16 3.58e-16 2.16e-16 0.001 2.70 undef 0 BackA03
P02347 147.696 89.196 1.32e-15 8.11e-16 4.34e-16 0.003 2.96 undef 0 BackA03
P08452 146.672 90.002 2.11e-16 1.59e-16 1.14e-16 0.001 3.02 undef 0 BackA04
P06921 147.255 91.112 1.13e-15 7.86e-16 4.41e-16 0.003 2.32 undef 0 BackA04
P10222 147.897 92.377 3.82e-16 2.77e-16 1.63e-16 0.001 1.42 undef 0 BackA04
P02064 148.0 92.101 1.70e-15 8.77e-16 5.01e-16 0.002 1.60 undef 0 BackA04
P00701 148.151 91.03 6.30e-17 5.90e-17 4.32e-17 0.001 2.31 undef 49.59083469721767 BackA04
P09914 148.183 90.835 4.31e-13 2.28e-13 1.03e-13 0.003 2.49 undef 0 BackA04
P06505 148.311 93.358 3.42e-17 3.38e-17 2.52e-17 0.003 0.66 undef 0 BackA04
P05467 148.465 90.727 8.82e-15 4.40e-15 2.15e-15 0.003 2.50 undef 0 BackA04
P02494 148.705 93.889 3.02e-14 1.42e-14 6.18e-15 0.001 0.16 undef 0 BackA04
P00680 148.894 92.512 2.68e-14 1.23e-14 5.13e-15 0.001 1.31 undef 0 BackA04
P06359 148.871 90.883 1.03e-17 1.38e-17 1.04e-17 0.001 2.13 undef 0 BackA04
P02296 148.945 91.224 1.09e-15 6.94e-16 3.82e-16 0.001 2.22 undef 0 BackA04
P04097 148.994 91.024 2.95e-15 1.82e-15 8.34e-16 0.002 2.14 undef 0 BackA04
P08299 148.904 93.021 1.42e-15 9.05e-16 4.64e-16 0.001 0.63 undef 0 BackA04
P10170 149.045 91.452 1.91e-16 1.49e-16 9.95e-17 0.001 2.18 undef 0 BackA04
P07750 149.15 93.434 3.31e-16 2.71e-16 1.51e-16 0.001 0.15 undef 0 BackA04
P00333 149.072 92.377 9.96e-15 5.16e-15 2.36e-15 0.002 1.64 undef 0 BackA04
P02238 149.343 93.214 4.18e-16 2.99e-16 1.79e-16 0.003 0.57 undef 0 BackA04
P01808 149.223 90.496 6.06e-17 4.90e-17 4.04e-17 0.002 1.70 undef 48.949919224555735 BackA04
P04723 149.311 93.778 3.16e-17 3.11e-17 2.50e-17 -0.0 -0.18 undef 0 BackA04
P09889 149.378 92.035 1.35e-17 1.57e-17 1.27e-17 0.001 1.67 undef 0 BackA04
P07894 149.441 94.337 4.13e-13 2.30e-13 1.08e-13 0.003 -0.48 undef 0 BackA04
P06999 149.446 91.337 3.47e-13 1.75e-13 8.44e-14 0.002 1.48 undef 0 BackA04
P01367 149.565 93.019 9.44e-15 4.99e-15 2.60e-15 0.001 0.46 undef 0 BackA04
P05982 149.516 91.94 2.95e-14 1.50e-14 6.66e-15 0.002 1.70 undef 0 BackA04
P03363 149.504 92.928 7.68e-17 5.22e-17 4.07e-17 0.001 0.12 undef 49.59083469721767 BackA04
P05840 149.65 91.889 2.91e-16 1.85e-16 1.22e-16 0.001 1.52 undef 0 BackA04
P05515 149.538 92.378 3.32e-16 2.33e-16 1.45e-16 0.002 1.26 undef 0 BackA04
P05335 149.63 92.821 1.19e-15 7.85e-16 4.34e-16 0.001 0.39 undef 0 BackA04
P09163 149.535 92.607 2.84e-14 1.58e-14 6.91e-15 -0.0 0.80 undef 0 BackA04
P09356 149.65 93.102 3.82e-15 2.39e-15 1.20e-15 0.001 -0.65 undef 0 BackA04
P09144 149.835 91.749 6.88e-15 3.57e-15 1.74e-15 0.001 1.03 undef 0 BackA04
P10134 149.784 92.581 1.28e-16 1.07e-16 7.32e-17 -0.0 0.27 undef 50.13789299503585 BackA04
P04147 149.893 92.831 2.32e-16 1.66e-16 1.25e-16 0.0 -0.04 undef 0 BackA04
P01689 149.743 92.848 2.00e-14 1.02e-14 4.87e-15 0.002 -0.01 undef 0 BackA04
P09869 149.707 93.672 1.36e-14 7.65e-15 3.80e-15 0.003 -1.25 undef 0 BackA04
P00463 149.757 94.989 2.33e-15 1.32e-15 6.79e-16 0.003 -0.87 undef 0 BackA04
P03432 149.751 92.74 2.27e-17 2.57e-17 1.78e-17 0.001 -0.24 undef 0 BackA04
P09023 149.861 92.659 5.45e-13 3.44e-13 1.88e-13 0.002 -0.09 undef 0 BackA04
P00189 149.792 92.754 6.54e-13 3.79e-13 1.95e-13 0.001 -0.49 undef 0 BackA04
P05450 149.803 91.101 2.52e-16 1.82e-16 1.21e-16 0.001 1.04 undef 0 BackA04
P10107 149.848 92.572 3.01e-14 8.76e-14 1.90e-13 0.003 0.07 undef 0 BackA04
P09074 149.789 93.252 4.49e-15 2.36e-15 1.31e-15 0.003 -1.00 undef 0 BackA04
P01869 149.929 92.651 2.34e-14 1.07e-14 5.38e-15 0.001 -0.17 undef 0 BackA04
P07652 149.876 92.781 8.36e-15 5.19e-15 2.29e-15 0.002 -0.35 undef 0 BackA04
P09615 149.979 92.604 3.15e-16 2.22e-16 1.48e-16 0.001 -0.19 undef 0 BackA04
P04423 149.911 93.276 4.41e-13 2.86e-13 1.48e-13 0.003 -0.93 undef 0 BackA04
P04044 149.968 92.589 4.97e-13 2.97e-13 1.22e-13 0.002 -0.20 undef 0 BackA04
P10056 149.925 93.351 1.18e-13 2.32e-13 3.45e-13 0.002 -0.91 undef 0 BackA04
P04870 151.993 57.581 3.00e-15 2.74e-15 2.14e-15 0.012 -0.42 83 0 BackB01
P02428 159.159 59.627 1.78e-17 2.20e-17 2.00e-17 0.001 1.06 undef 0 BackB01
P00751 159.044 46.563 3.99e-11 2.14e-11 9.65e-12 0.015 -0.77 67 0 BackB01
P00756 159.225 57.855 9.28e-17 8.65e-17 6.83e-17 0.001 0.65 undef 0 BackB01
P02444 160.87 57.984 2.10e-17 2.40e-17 2.12e-17 0.003 0.05 undef 0 BackB01
P01534 160.957 58.569 2.67e-14 1.40e-14 6.71e-15 0.003 0.07 undef 0 BackB01
P00823 161.158 59.841 2.98e-15 1.75e-15 9.32e-16 -0.0 0.42 undef 0 BackB01
P01570 161.19 59.997 6.31e-15 3.44e-15 1.84e-15 0.001 0.46 undef 0 BackB01
P05927 161.851 56.257 1.83e-17 2.23e-17 2.02e-17 0.002 -0.53 undef 0 BackB01
P02267 162.271 58.886 4.82e-14 2.19e-14 1.08e-14 0.002 -0.53 undef 0 BackB01
P05425 162.272 52.915 4.48e-14 2.28e-14 1.06e-14 0.004 -0.77 undef 0 BackB01
P03287 163.26 58.4 1.09e-17 1.39e-17 1.35e-17 0.002 -1.24 undef 0 BackB01
P02931 163.622 59.318 3.61e-16 2.78e-16 1.77e-16 0.002 -1.68 undef 51.618398637137986 BackB01
P00319 163.758 59.257 8.20e-17 8.02e-17 6.26e-17 0.0 -1.60 undef 0 BackB01
P07348 156.92 62.25 9.65e-15 5.25e-15 2.75e-15 0.002 1.28 undef 0 BackB02
P02195 159.287 62.178 1.26e-12 7.86e-13 4.13e-13 0.001 0.94 undef 0 BackB02
P04404 159.684 62.243 2.69e-14 1.47e-14 6.62e-15 0.001 0.92 undef 0 BackB02
P05212 160.171 62.602 5.01e-17 4.79e-17 4.09e-17 0.004 0.74 undef 0 BackB02
P05029 160.593 61.263 2.79e-14 1.52e-14 6.96e-15 0.001 0.98 undef 0 BackB02
P03999 160.624 60.193 2.92e-15 1.82e-15 1.08e-15 0.003 0.84 undef 0 BackB02
P07033 160.826 60.319 1.53e-14 9.31e-15 4.10e-15 0.002 0.74 undef 0 BackB02
P05330 160.786 61.916 4.32e-14 2.31e-14 9.85e-15 0.003 0.68 undef 0 BackB02
P07303 160.832 61.177 3.91e-17 4.29e-17 3.72e-17 0.003 0.85 undef 0 BackB02
P05025 160.9 60.857 3.94e-16 2.95e-16 1.97e-16 0.002 0.89 undef 0 BackB02
P10429 161.239 60.315 6.99e-17 7.38e-17 5.49e-17 0.005 0.34 undef 0 BackB02
P02617 161.395 60.415 1.06e-16 1.03e-16 6.90e-17 -0.001 0.48 undef 48.635634028892454 BackB02
P02400 161.375 61.672 1.29e-16 1.13e-16 8.37e-17 0.003 0.53 undef 48.949919224555735 BackB02
P08272 161.348 61.515 2.15e-16 1.68e-16 1.27e-16 0.0 0.58 undef 49.26829268292683 BackB02
P05088 161.556 60.963 1.74e-15 1.11e-15 6.66e-16 0.0 0.65 undef 0 BackB02
P07701 161.611 62.316 1.55e-12 1.18e-12 7.62e-13 0.001 0.20 undef 0 BackB02
P07229 161.595 61.61 2.21e-15 1.43e-15 8.08e-16 0.0 0.49 undef 0 BackB02
P09315 161.751 60.67 7.01e-15 3.98e-15 1.91e-15 0.002 0.37 undef 0 BackB02
P05383 161.826 60.712 2.58e-16 2.15e-16 1.42e-16 0.001 0.35 undef 50.13789299503585 BackB02
P05416 161.803 60.804 1.26e-17 1.47e-17 1.49e-17 0.001 0.38 undef 0 BackB02
P10349 161.871 61.207 2.54e-14 1.49e-14 6.49e-15 0.003 0.29 undef 0 BackB02
P09666 161.778 62.487 1.80e-17 1.97e-17 1.72e-17 0.0 -0.14 undef 0 BackB02
P08992 161.856 61.59 4.87e-16 3.60e-16 2.21e-16 0.002 0.12 undef 0 BackB02
P06222 161.876 61.087 5.64e-17 5.48e-17 4.31e-17 0.005 0.33 undef 0 BackB02
P06698 162.041 63.119 3.16e-16 2.52e-16 1.61e-16 0.0 -0.40 undef 50.69715560513106 BackB02
P06156 162.01 60.97 1.57e-12 1.09e-12 6.13e-13 0.003 0.04 undef 0 BackB02
P05655 162.159 61.355 6.32e-14 2.87e-14 1.29e-14 0.004 -0.09 undef 0 BackB02
P04226 162.203 62.792 3.55e-16 2.66e-16 1.57e-16 0.001 -0.37 undef 50.360110803324105 BackB02
P09006 162.088 60.763 1.11e-12 1.25e-12 1.08e-12 0.002 -0.05 undef 18.68448098663926 BackB02
P00882 162.199 61.481 1.09e-16 1.01e-16 7.78e-17 0.002 0.07 undef 48.84470714669533 BackB02
P09404 162.204 61.271 7.72e-15 4.37e-15 2.26e-15 0.003 -0.04 undef 0 BackB02
P07035 162.241 60.283 2.48e-14 1.28e-14 6.01e-15 0.004 -0.43 undef 0 BackB02
P00437 162.197 60.85 6.82e-14 3.31e-14 1.48e-14 0.001 -0.13 undef 0 BackB02
P03715 162.267 60.326 5.32e-13 2.61e-13 1.23e-13 0.002 -0.46 undef 0 BackB02
P04182 162.368 61.062 1.53e-16 1.20e-16 9.11e-17 0.003 -0.24 undef 49.26829268292683 BackB02
P01605 162.356 60.095 2.11e-14 1.26e-14 5.74e-15 0.002 -0.57 undef 0 BackB02
P02188 162.336 62.048 5.34e-14 2.33e-14 1.12e-14 0.002 -0.53 undef 0 BackB02
P08109 162.464 62.139 1.93e-17 2.32e-17 2.25e-17 0.003 -0.55 undef 0 BackB02
P04543 162.429 61.388 8.34e-14 4.57e-14 1.84e-14 0.002 -0.51 undef 0 BackB02
P02176 162.492 61.282 2.03e-15 1.34e-15 7.70e-16 0.001 -0.35 undef 0 BackB02
P06980 162.35 60.184 3.17e-15 2.14e-15 9.92e-16 0.003 -0.70 undef 0 BackB02
P05618 162.401 60.908 8.36e-17 7.82e-17 5.44e-17 0.003 -0.61 undef 0 BackB02
P08453 162.546 61.221 1.51e-16 1.21e-16 8.78e-17 0.002 -0.52 undef 49.16170903190913 BackB02
P00262 162.421 61.365 2.11e-14 1.07e-14 5.20e-15 0.002 -0.72 undef 0 BackB02
P09874 162.49 61.066 1.11e-15 8.43e-16 5.07e-16 0.003 -0.90 undef 0 BackB02
P07717 162.346 60.951 1.85e-13 4.00e-13 6.84e-13 0.0 -0.87 undef 0 BackB02
P05886 162.526 61.377 5.46e-14 2.77e-14 1.16e-14 0.001 -0.81 undef 0 BackB02
P09578 162.455 61.315 1.13e-17 1.51e-17 1.51e-17 0.002 -0.92 undef 0 BackB02
P00715 162.49 61.306 1.77e-17 9.31e-18 4.17e-18 0.002 -0.99 undef 0 BackB02
P00057 162.696 62.882 1.93e-17 2.15e-17 1.96e-17 0.001 -0.70 undef 0 BackB02
P03373 162.611 61.771 9.95e-16 7.10e-16 4.16e-16 0.003 -0.91 undef 0 BackB02
P06103 162.471 61.6 1.51e-16 1.31e-16 9.08e-17 0.004 -0.95 undef 49.05558553696708 BackB02
P06315 162.717 61.328 1.47e-12 9.33e-13 5.53e-13 0.001 -1.05 undef 0 BackB02
P07870 162.698 62.822 6.12e-13 3.29e-13 1.51e-13 0.003 -0.85 undef 0 BackB02
P09058 162.74 60.872 1.79e-17 8.30e-18 3.95e-18 0.002 -1.27 undef 0 BackB02
P08487 162.71 61.111 1.53e-15 9.97e-16 5.85e-16 -0.0 -1.37 undef 0 BackB02
P08630 162.781 63.368 3.78e-16 2.97e-16 1.93e-16 0.001 -0.84 undef 0 BackB02
P10079 162.761 60.955 6.11e-17 5.50e-17 4.86e-17 0.003 -1.52 undef 0 BackB02
P07015 162.767 60.605 1.19e-14 6.82e-15 3.31e-15 0.001 -1.39 undef 0 BackB02
P02309 162.962 60.17 3.95e-16 3.05e-16 1.92e-16 0.002 -1.19 undef 0 BackB02
P03735 162.787 61.34 2.50e-15 1.52e-15 8.03e-16 0.001 -1.57 undef 0 BackB02
P03249 162.836 60.813 5.91e-16 4.50e-16 2.82e-16 0.001 -1.50 undef 0 BackB02
P04157 162.827 61.185 1.52e-12 1.35e-12 8.60e-13 0.004 -1.62 undef 0 BackB02
P03554 162.942 62.398 1.49e-16 1.43e-16 9.55e-17 0.002 -1.06 undef 48.635634028892454 BackB02
P08948 162.979 60.871 8.76e-13 1.01e-12 1.05e-12 0.003 -1.69 undef 19.060599706437408 BackB02
P04273 162.911 61.022 1.35e-15 1.05e-15 5.49e-16 0.002 -1.66 undef 0 BackB02
P01123 163.016 60.022 4.46e-16 3.62e-16 2.29e-16 0.003 -1.30 undef 0 BackB02
P09938 162.843 64.776 1.76e-14 9.42e-15 4.43e-15 0.002 -0.85 undef 0 BackB02
P04970 162.932 61.494 5.00e-15 2.89e-15 1.35e-15 0.003 -1.47 undef 0 BackB02
P07914 162.969 60.718 1.81e-16 1.40e-16 1.05e-16 0.003 -1.55 undef 49.16170903190913 BackB02
P03079 162.996 61.591 2.20e-15 1.38e-15 7.89e-16 0.003 -1.58 undef 0 BackB02
P02409 163.177 60.229 2.36e-15 1.63e-15 8.38e-16 0.004 -1.43 undef 0 BackB02
P07122 163.164 61.124 5.07e-14 2.67e-14 1.07e-14 0.002 -1.79 undef 0 BackB02
P00945 163.127 61.045 9.34e-14 4.11e-14 1.83e-14 0.002 -1.91 undef 0 BackB02
P04066 163.285 61.212 4.51e-16 3.35e-16 2.08e-16 0.003 -1.92 undef 0 BackB02
P02651 163.351 61.737 1.99e-17 1.04e-17 4.08e-18 0.002 -1.89 undef 0 BackB02
P07634 163.341 60.113 2.64e-14 1.30e-14 6.28e-15 0.001 -1.66 undef 0 BackB02
P08997 163.286 60.757 1.80e-16 1.64e-16 1.16e-16 0.002 -1.90 undef 50.13789299503585 BackB02
P04380 163.407 61.946 7.71e-17 8.27e-17 5.79e-17 0.002 -1.76 undef 0 BackB02
P09104 163.404 61.321 2.12e-15 1.40e-15 7.41e-16 0.003 -2.01 undef 0 BackB02
P04729 163.494 60.966 8.94e-16 5.82e-16 3.94e-16 0.002 -1.97 undef 0 BackB02
P03203 163.472 63.583 1.06e-17 1.32e-17 1.28e-17 0.002 -1.35 undef 0 BackB02
P05984 163.389 61.028 2.67e-14 1.48e-14 7.40e-15 0.0 -1.95 undef 0 BackB02
P05763 163.669 65.991 1.05e-16 9.07e-17 6.96e-17 0.002 -1.01 undef 48.84470714669533 BackB02
P07937 163.871 63.084 8.56e-15 4.43e-15 2.23e-15 0.003 -1.61 undef 0 BackB02
P08501 163.926 65.371 1.63e-14 9.26e-15 4.18e-15 0.0 -1.22 undef 0 BackB02
P10322 164.029 61.052 5.40e-13 8.63e-13 9.89e-13 0.001 -2.21 undef 19.91237677984666 BackB02
P02522 164.235 60.462 8.17e-15 5.17e-15 2.44e-15 0.003 -2.24 undef 0 BackB02
P09854 164.553 63.569 2.33e-14 1.23e-14 5.96e-15 0.002 -1.96 undef 0 BackB02
P00232 164.469 60.367 1.73e-16 1.40e-16 1.06e-16 0.003 -2.25 undef 49.48285247686445 BackB02
P08069 164.505 62.981 8.31e-17 8.20e-17 6.21e-17 0.001 -2.05 undef 0 BackB02
P09254 164.458 61.906 4.52e-14 2.28e-14 1.06e-14 0.002 -2.34 undef 0 BackB02
P03811 164.567 61.843 2.48e-14 1.30e-14 5.82e-15 0.003 -2.39 undef 0 BackB02
P07023 164.853 64.341 1.05e-17 1.36e-17 1.28e-17 0.002 -1.77 undef 0 BackB02
P09876 164.95 64.375 1.81e-16 1.72e-16 1.10e-16 0.001 -1.76 undef 49.80821917808219 BackB02
P07189 164.933 60.956 7.26e-13 3.47e-13 1.70e-13 0.002 -2.48 undef 0 BackB02
P01429 150.031 92.035 1.75e-14 8.03e-15 4.02e-15 0.002 0.56 undef 0 BackB04
